127.0.0.1 - - [07/Dec/2020:15:05:32 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:36 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:36 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:36 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:43 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:43 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:43 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:43 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:45 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:58 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:05:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:06:01 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:06:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/overview-frame.html HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/overview-summary.html HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/allclasses-frame.html HTTP/1.1" 200 10992
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/stylesheet.css HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:21 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:36 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/model/package-frame.html HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:36 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:38 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/model/CollegeModel.html HTTP/1.1" 200 25675
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:30:38 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:32:42 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:34:43 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:34:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:34:45 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:34:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:35:37 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:35:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:35:40 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:35:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
