127.0.0.1 - - [23/Dec/2020:10:42:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:07 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:10 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:14 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:25 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:28 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:30 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:30 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:42:30 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:44:30 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:44:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:44:32 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:44:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:47:06 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:47:06 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:47:06 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:47:06 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:47:06 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:49:15 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:49:18 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:49:22 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:49:23 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:52:08 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [23/Dec/2020:10:52:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:00:24 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:00:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:30:56 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:30:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:31:04 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:31:04 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:31:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:11 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:11 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:11 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:15 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:17 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:33:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:07 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:07 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:08 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:08 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:08 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:35:46 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:36:00 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:36:04 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:36:09 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:36:11 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:37:11 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:37:13 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:37:59 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:37:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:38:01 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:38:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:38:22 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 9071
0:0:0:0:0:0:0:1 - - [23/Dec/2020:11:38:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
