127.0.0.1 - - [22/Dec/2020:14:49:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:49:49 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:49:50 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:33 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:36 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:46 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:49 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:51 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:51 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:51:51 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:52:00 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:52:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:52:02 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:52:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:43 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:43 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:43 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:43 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:43 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:47 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:58:49 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:28:46 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:28:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:47:33 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:47:33 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:47:33 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:47:35 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [22/Dec/2020:15:47:37 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
