127.0.0.1 - - [15/Dec/2020:15:04:56 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:01 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:01 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:02 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:11 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:11 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:11 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:11 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:14 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:05:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:30:10 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:32:54 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:32:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:34:34 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:34:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:38:55 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:38:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:42:55 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [15/Dec/2020:15:42:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:02:11 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:02:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:06:33 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:06:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/overview-frame.html HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/allclasses-frame.html HTTP/1.1" 200 10992
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/overview-summary.html HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/stylesheet.css HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [15/Dec/2020:16:15:30 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
