127.0.0.1 - - [05/Dec/2020:10:39:35 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:39 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:39 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:40 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:45 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:56 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:58 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:39:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:03 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:03 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:03 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:14 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/test/package-frame.html HTTP/1.1" 200 1952
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:14 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:16 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/test/MarksheetModelTest.html HTTP/1.1" 200 14773
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:16 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:18 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/ctl/package-frame.html HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:18 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:19 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/exception/package-frame.html HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:40:19 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:44:34 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:44:46 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:44:52 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/model/CourseModel.html HTTP/1.1" 200 18874
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:44:52 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:45:00 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:47:54 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:47:54 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:10:47:54 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:06:29 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:06:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:06:31 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:06:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:35:29 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:35:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:35:32 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:35:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Dec/2020:12:05:30 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [05/Dec/2020:12:05:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
