127.0.0.1 - - [10/Dec/2020:14:41:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:22 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:23 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:27 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:29 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [10/Dec/2020:14:41:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:30 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:33 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:41 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:41 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:41 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:41 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:44 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:46 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:12:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:17 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:19 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:24 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:24 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:24 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:17:24 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:20 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:20 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:20 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:22 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:24 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [10/Dec/2020:15:57:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
