2020-08-22 19:19:07,097 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-22 19:19:07,103 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-08-22 19:19:07,133 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-22 19:19:07,139 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project\ORSProject4\src\test\resources
2020-08-22 19:19:07,141 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ORSProject4
2020-08-22 19:19:07,142 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ORSProject4
2020-08-22 19:19:07,162 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-22 19:29:52,107 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-22 19:29:52,136 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-08-22 19:29:52,152 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-22 19:29:52,154 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project\ORSProject4\src\test\resources
2020-08-22 19:30:38,403 [Worker-39] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-08-22 19:30:40,475 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays.proj4:ORSProject4:0.0.1-SNAPSHOT @ C:\Users\hp\Desktop\project\ORSProject4\pom.xml.
2020-08-22 19:30:41,562 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ORSProject4/src/main/java
2020-08-22 19:30:41,562 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ORSProject4/src/main/resources
